Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DB,Consultar Lista Departamentos (DB),366,1,22,23.79718087257339,10.630099917761981,128.10550001449883,836.9426229508197,15.031028852091712,0.04106838484178063,22,24,25,25,27,30,55,83,130,130,130
DB,Insertar Departamento (DB),473,0,11,11.7978752631572,6.180799915455282,80.89750004000962,72.0,19.42534603016224,0.0,11,12,13,13,14,15,17,19,81,81,81
IO,Upload Documento (IO),407,0,1000.0,1022.942119900993,96.47119999863207,3630.547899985686,0.0,16.714832630604718,0.0,1000,1200,2000,2000,2100,2200,2500,2600,3600,3600,3600
,Aggregated,1246,1,22,345.60803049642004,6.180799915455282,3630.547899985686,273.1757624398074,51.171207512858665,0.04106838484178063,22,34,230,560,1200,2100,2200,2200,3600,3600,3600
